1980,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,2160,2,LBS. ,3400
1980,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,125280,1,LBS. ,63000
1980,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,2160,14,COL. ,30000
1980,113999,BARLEY UNSPECIFIED ,1,Alameda ,4975,1.14,5671,121,TONS ,684000
1980,239999,BERRIES BUSHBERRIES UNSPEC. ,1,Alameda ,17,  ,  ,  ,TONS ,113000
1980,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,6638000
1980,314999,CAULIFLOWER UNSPECIFIED ,1,Alameda ,2200,3.93,8650,460,TONS ,3981000
1980,604999,CHICKENS BROILERS ,1,Alameda ,  ,  ,  ,  ,  ,2016000
1980,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,263000
1980,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,3980,  ,  ,  ,  ,1001000
1980,867171,FLOWERS CARNATION CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,260000
1980,867170,FLOWERS CARNATION CUT STD. ,1,Alameda ,  ,  ,  ,  ,  ,1203000
1980,867209,FLOWERS CHRYSNTH. UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  ,223000
1980,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,4847000
1980,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,1077000
1980,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,7966000
1980,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,22,  ,  ,  ,  ,15000
1980,634999,GAME BIRDS PIGEONS & SQUABS ,1,Alameda ,  ,  ,  ,  ,  ,92000
1980,216299,GRAPES WINE ,1,Alameda ,1660,2.36,3918,542,TONS ,2125000
1980,181999,HAY ALFALFA ,1,Alameda ,550,5.12,2816,85,TONS ,238000
1980,188499,HAY GRAIN ,1,Alameda ,8775,1.88,16497,62,TONS ,1028000
1980,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,80000
1980,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,333000
1980,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,6133000
1980,866999,NURSERY PLANTS POT'D UNSP ,1,Alameda ,  ,  ,  ,  ,  ,5985000
1980,863999,NURSERY FL. PROPG. MTRLS ,1,Alameda ,  ,  ,  ,  ,  ,4635000
1980,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,2190000
1980,194599,PASTURE IRRIGATED ,1,Alameda ,1465,  ,  ,  ,  ,85000
1980,194699,PASTURE RANGE ,1,Alameda ,192600,  ,  ,  ,  ,1953000
1980,411999,SHEEP ,1,Alameda ,  ,  ,  ,  ,  ,86000
1980,132999,SUGAR BEETS ,1,Alameda ,560,17.38,9733,48,TONS ,463000
1980,378199,TOMATOES FRESH MARKET ,1,Alameda ,37,10,370,214,TONS ,79000
1980,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,1425,  ,  ,  ,  ,3864000
1980,263999,WALNUTS ENGLISH ,1,Alameda ,440,0.81,356,958,TONS ,341000
1981,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,1080,2,LBS. ,2100
1981,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,39000,1,LBS. ,20300
1981,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,2000,20,COL. ,40000
1981,113999,BARLEY UNSPECIFIED ,1,Alameda ,4500,1.07,4815,117,TONS ,562000
1981,239999,BERRIES BUSHBERRIES UNSPEC. ,1,Alameda ,14,  ,  ,  ,TONS ,90500
1981,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,8034000
1981,604999,CHICKENS BROILERS ,1,Alameda ,  ,  ,  ,  ,  ,2154000
1981,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,366000
1981,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,4460,  ,  ,  ,TONS ,1281000
1981,867171,FLOWERS CARNATION CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,298000
1981,867170,FLOWERS CARNATION CUT STD. ,1,Alameda ,  ,  ,  ,  ,  ,1144000
1981,867209,FLOWERS CHRYSNTH. UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  ,365000
1981,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,3705000
1981,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,1380000
1981,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,8580000
1981,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,24,  ,  ,  ,TONS ,19000
1981,634999,GAME BIRDS PIGEONS & SQUABS ,1,Alameda ,  ,  ,  ,  ,  ,59000
1981,216299,GRAPES WINE ,1,Alameda ,1725,2.82,4860,548,TONS ,2662000
1981,181999,HAY ALFALFA ,1,Alameda ,710,7.25,5147,81,TONS ,418000
1981,188499,HAY GRAIN ,1,Alameda ,10000,1.3,13000,65,TONS ,847000
1981,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,91000
1981,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,354000
1981,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,6539000
1981,866999,NURSERY PLANTS POT'D UNSP ,1,Alameda ,  ,  ,  ,  ,  ,5832000
1981,863999,NURSERY FL. PROPG. MTRLS ,1,Alameda ,  ,  ,  ,  ,  ,4787000
1981,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,2935000
1981,194599,PASTURE IRRIGATED ,1,Alameda ,760,  ,  ,  ,TONS ,40000
1981,194699,PASTURE RANGE ,1,Alameda ,211400,  ,  ,  ,TONS ,2463000
1981,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,124000
1981,132999,SUGAR BEETS ,1,Alameda ,650,13.08,8500,38,TONS ,323000
1981,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,2650,  ,  ,  ,TONS ,6146000
1981,263999,WALNUTS ENGLISH ,1,Alameda ,415,1.14,475,1025,TONS ,487000
1982,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,6160,2,LBS. ,12300
1982,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,123200,1,LBS. ,68000
1982,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,2500,18,COL. ,45000
1982,113999,BARLEY UNSPECIFIED ,1,Alameda ,3400,1.05,3555,119,TONS ,424000
1982,239999,BERRIES BUSHBERRIES UNSPEC. ,1,Alameda ,10,  ,  ,  ,TONS ,77000
1982,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,9974000
1982,609999,CHICKENS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,2530000
1982,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,413000
1982,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,655,  ,  ,  ,TONS ,210000
1982,867171,FLOWERS CARNATION CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,309000
1982,867170,FLOWERS CARNATION CUT STD. ,1,Alameda ,  ,  ,  ,  ,  ,1150000
1982,867209,FLOWERS CHRYSNTH. UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  ,307000
1982,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,2906000
1982,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,4193000
1982,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,1593000
1982,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,9359000
1982,933999,FOREST PRODUCTS LUMBER ,1,Alameda ,  ,  ,  ,  ,B.F. ,51000
1982,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,20,  ,  ,  ,TONS ,15000
1982,634999,GAME BIRDS PIGEONS & SQUABS ,1,Alameda ,  ,  ,  ,  ,  ,54000
1982,216299,GRAPES WINE ,1,Alameda ,1610,3.93,6326,528,TONS ,3342000
1982,181999,HAY ALFALFA ,1,Alameda ,900,7.19,6471,90,TONS ,581000
1982,188499,HAY GRAIN ,1,Alameda ,3300,1.5,4954,61,TONS ,302000
1982,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,203000
1982,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,6187000
1982,834999,NURSERY PLANTS VEG. BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,350000
1982,863999,NURSERY FL. PROPG. MTRLS ,1,Alameda ,  ,  ,  ,  ,  ,4843000
1982,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,2984000
1982,194599,PASTURE IRRIGATED ,1,Alameda ,375,  ,  ,  ,TONS ,16000
1982,194699,PASTURE RANGE ,1,Alameda ,218000,  ,  ,  ,TONS ,2540000
1982,699999,POULTRY UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,222000
1982,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,283000
1982,132999,SUGAR BEETS ,1,Alameda ,305,21.49,6553,35,TONS ,228000
1982,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,2230,  ,  ,  ,TONS ,6905000
1982,263999,WALNUTS ENGLISH ,1,Alameda ,370,1.16,428,1079,TONS ,462000
1982,101999,WHEAT ALL ,1,Alameda ,3550,1.65,5859,129,TONS ,756000
1983,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,6800,2,LBS. ,13600
1983,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,112000,1,LBS. ,58200
1983,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,2800,20,COL. ,56000
1983,113999,BARLEY UNSPECIFIED ,1,Alameda ,800,0.99,792,117,TONS ,93000
1983,239999,BERRIES BUSHBERRIES UNSPEC. ,1,Alameda ,7,  ,  ,  ,TONS ,64000
1983,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,7746000
1983,609999,CHICKENS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,1870000
1983,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,334000
1983,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,365,  ,  ,  ,  ,188000
1983,867171,FLOWERS CARNATION CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,464000
1983,867170,FLOWERS CARNATION CUT STD. ,1,Alameda ,  ,  ,  ,  ,  ,1465000
1983,867209,FLOWERS CHRYSNTH. UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  ,224000
1983,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,3187000
1983,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,3417000
1983,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,1205000
1983,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,8667000
1983,933999,FOREST PRODUCTS LUMBER ,1,Alameda ,  ,  ,  ,  ,B.F. ,52000
1983,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,18,  ,  ,  ,  ,12000
1983,634999,GAME BIRDS PIGEONS & SQUABS ,1,Alameda ,  ,  ,  ,  ,  ,43000
1983,216299,GRAPES WINE ,1,Alameda ,1640,3.07,5042,424,TONS ,2137000
1983,181999,HAY ALFALFA ,1,Alameda ,725,6.19,4488,99,TONS ,444000
1983,188499,HAY GRAIN ,1,Alameda ,12650,1.55,19608,62,TONS ,1206000
1983,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,260000
1983,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,315000
1983,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,6490000
1983,834999,NURSERY PLANTS VEG. BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,355000
1983,863999,NURSERY FL. PROPG. MTRLS ,1,Alameda ,  ,  ,  ,  ,  ,5166000
1983,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,3130000
1983,194599,PASTURE IRRIGATED ,1,Alameda ,495,  ,  ,  ,  ,25000
1983,194699,PASTURE RANGE ,1,Alameda ,218000,  ,  ,  ,  ,2476000
1983,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,78000
1983,132999,SUGAR BEETS ,1,Alameda ,155,11.79,1827,37,TONS ,67000
1983,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,2050,  ,  ,  ,  ,4343000
1983,263999,WALNUTS ENGLISH ,1,Alameda ,357,0.92,328,579,TONS ,190000
1983,101999,WHEAT ALL ,1,Alameda ,2620,1.42,3720,132,TONS ,492000
1984,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,6900,1,LBS. ,9000
1984,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,120000,1,LBS. ,67200
1984,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,2800,22,COL. ,61600
1984,113999,BARLEY UNSPECIFIED ,1,Alameda ,1550,0.97,1503,134,TONS ,201000
1984,239999,BERRIES BUSHBERRIES UNSPEC. ,1,Alameda ,4,  ,  ,  ,TONS ,44000
1984,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,6716000
1984,604999,CHICKENS BROILERS ,1,Alameda ,  ,  ,  ,  ,  ,1926000
1984,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,375000
1984,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,920,  ,  ,  ,  ,212000
1984,867171,FLOWERS CARNATION CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,603000
1984,867170,FLOWERS CARNATION CUT STD. ,1,Alameda ,  ,  ,  ,  ,  ,1945000
1984,867209,FLOWERS CHRYSNTH. UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  ,256000
1984,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,3334000
1984,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,2019000
1984,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,1113000
1984,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,7899000
1984,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,16,  ,  ,  ,  ,11000
1984,634999,GAME BIRDS PIGEONS & SQUABS ,1,Alameda ,  ,  ,  ,  ,  ,40000
1984,216299,GRAPES WINE ,1,Alameda ,1672,3.16,5286,398,TONS ,2103000
1984,181999,HAY ALFALFA ,1,Alameda ,1050,5.91,6205,89,TONS ,553000
1984,188499,HAY GRAIN ,1,Alameda ,9500,1.47,13965,67,TONS ,936000
1984,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,66000
1984,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,524000
1984,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,3397000
1984,863999,NURSERY FL. PROPG. MTRLS ,1,Alameda ,  ,  ,  ,  ,  ,3673000
1984,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,4904000
1984,194599,PASTURE IRRIGATED ,1,Alameda ,380,  ,  ,  ,  ,17000
1984,194699,PASTURE RANGE ,1,Alameda ,221350,  ,  ,  ,  ,2700000
1984,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,77000
1984,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,1955,  ,  ,  ,  ,4140000
1984,263999,WALNUTS ENGLISH ,1,Alameda ,252,0.88,221,760,TONS ,168000
1984,101999,WHEAT ALL ,1,Alameda ,3450,1.19,4105,118,TONS ,485000
1985,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,6700,1,LBS. ,9050
1985,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,115000,1,LBS. ,59800
1985,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,2800,23,COL ,63250
1985,113999,BARLEY UNSPECIFIED ,1,Alameda ,1550,0.82,1269,123,TONS ,156000
1985,239999,BERRIES BUSHBERRIES UNSPEC. ,1,Alameda ,4,  ,  ,  ,TONS ,43000
1985,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,6427000
1985,604999,CHICKENS BROILERS ,1,Alameda ,  ,  ,  ,  ,  ,1635000
1985,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,489000
1985,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,2390,  ,  ,  ,TONS ,437000
1985,867171,FLOWERS CARNATION CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,597000
1985,867170,FLOWERS CARNATION CUT STD. ,1,Alameda ,  ,  ,  ,  ,  ,1662000
1985,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,2974000
1985,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,4617000
1985,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,1400000
1985,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,7218000
1985,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,9,  ,  ,  ,TONS ,6000
1985,634999,GAME BIRDS PIGEONS & SQUABS ,1,Alameda ,  ,  ,  ,  ,  ,22000
1985,216299,GRAPES WINE ,1,Alameda ,1501,3.55,5336,338,TONS ,1802000
1985,181999,HAY ALFALFA ,1,Alameda ,1145,6.2,7099,85,TONS ,602000
1985,188499,HAY GRAIN ,1,Alameda ,9725,1.32,12837,68,TONS ,869000
1985,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,261000
1985,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,207000
1985,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,3771000
1985,863999,NURSERY FL. PROPG. MTRLS ,1,Alameda ,  ,  ,  ,  ,  ,3161000
1985,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,6343000
1985,194599,PASTURE IRRIGATED ,1,Alameda ,390,  ,  ,  ,  ,21000
1985,194699,PASTURE RANGE ,1,Alameda ,203000,  ,  ,  ,  ,2519000
1985,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,76000
1985,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,2391,  ,  ,  ,  ,4571000
1985,263999,WALNUTS ENGLISH ,1,Alameda ,197,0.84,165,661,TONS ,109000
1985,101999,WHEAT ALL ,1,Alameda ,2525,0.81,2045,108,TONS ,221000
1986,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,6800,1,LBS ,9250
1986,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,110000,1,LBS ,58300
1986,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,2800,23,COL ,64400
1986,217999,APRICOTS ALL ,1,Alameda ,  ,  ,  ,  ,  , 
1986,113999,BARLEY UNSPECIFIED ,1,Alameda ,475,1.4,665,92,TON ,61000
1986,239999,BERRIES BUSHBERRIES UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  , 
1986,310999,CABBAGE HEAD ,1,Alameda ,  ,  ,  ,  ,  , 
1986,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,5958000
1986,314999,CAULIFLOWER UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  , 
1986,604999,CHICKENS BROILERS ,1,Alameda ,  ,  ,  ,  ,  ,1470000
1986,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,397000
1986,111991,CORN GRAIN ,1,Alameda ,  ,  ,  ,  ,  , 
1986,323999,CORN SWEET ALL ,1,Alameda ,  ,  ,  ,  ,  , 
1986,325999,CUCUMBERS ,1,Alameda ,  ,  ,  ,  ,  , 
1986,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,1015,  ,  ,  ,  ,254000
1986,867055,FLOWERS ASTERS CUT ,1,Alameda ,  ,  ,  ,  ,  , 
1986,867171,FLOWERS CARNATION CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,555000
1986,867170,FLOWERS CARNATION CUT STD. ,1,Alameda ,  ,  ,  ,  ,  ,1926000
1986,867209,FLOWERS CHRYSNTH. UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  , 
1986,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,5001000
1986,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,4805000
1986,867360,FLOWERS GARDENIAS CUT ,1,Alameda ,  ,  ,  ,  ,  , 
1986,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,1226000
1986,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,6925000
1986,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,8,  ,  ,  ,  ,60900
1986,634999,GAME BIRDS PIGEONS & SQUABS ,1,Alameda ,  ,  ,  ,  ,  ,27000
1986,216299,GRAPES WINE ,1,Alameda ,1465,3.35,4908,356,TON ,1749000
1986,181999,HAY ALFALFA ,1,Alameda ,1240,6.24,7738,86,TON ,664000
1986,188499,HAY GRAIN ,1,Alameda ,11850,2.07,24530,58,TON ,1422000
1986,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,361000
1986,339999,LETTUCE UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  , 
1986,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,193000
1986,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,5032000
1986,866559,NURSERY PLANTS ORCHID ,1,Alameda ,  ,  ,  ,  ,  , 
1986,863999,NURSERY FL. PROPG. MTRLS ,1,Alameda ,  ,  ,  ,  ,  ,2205000
1986,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,6138000
1986,112999,OATS GRAIN ,1,Alameda ,  ,  ,  ,  ,  , 
1986,194599,PASTURE IRRIGATED ,1,Alameda ,490,  ,  ,  ,ACRE ,26000
1986,194699,PASTURE RANGE ,1,Alameda ,194325,  ,  ,  ,ACRE ,2521000
1986,218299,PERSIMMONS ,1,Alameda ,  ,  ,  ,  ,  , 
1986,462999,RABBITS ,1,Alameda ,  ,  ,  ,  ,  , 
1986,158269,SAFFLOWER ,1,Alameda ,  ,  ,  ,  ,  , 
1986,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,94000
1986,378999,TOMATOES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  , 
1986,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,1964,  ,  ,  ,  ,5054000
1986,263999,WALNUTS ENGLISH ,1,Alameda ,172,0.85,147,740,TON ,108800
1986,101999,WHEAT ALL ,1,Alameda ,1520,1.15,1748,84,TON ,147000
1986,472999,WOOL ,1,Alameda ,  ,  ,  ,  ,  , 
1987,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,6000,1,LBS ,8400
1987,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,100000,1,LBS ,54000
1987,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,2500,23,COL ,57500
1987,217999,APRICOTS ALL ,1,Alameda ,  ,  ,  ,  ,  , 
1987,113999,BARLEY UNSPECIFIED ,1,Alameda ,400,0.7,280,82,TONS ,23000
1987,169999,BEANS DRY EDIBLE UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  , 
1987,239999,BERRIES BUSHBERRIES UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  , 
